fileN,file,id,displayName,formattedAddress,latitude,longitude,servesCoffee,takeout,goodForChildren,goodForGroups
90,180_location.json,ChIJDRi3sIYUE2sRPAIN4cTA82w,Red Rooster Shellharbour,230 New Lake Entrance Rd Shellharbour NSW 2529 Australia,-34.5651386,150.82861069999998,False,True,True,True
90,180_location.json,ChIJ-4W253kTE2sRmfnq0Cy3KFY,Hanok Korean BBQ Shellharbour,cnr college ave and holm pl 2021B shellharbour square Shellharbour NSW 2529 Australia,-34.5648251,150.8368629,False,True,True,True
90,180_location.json,ChIJDRi3sIYUE2sRU1fL1we5tZg,Crust Shellharbour City,2022 Lake Entrance Rd Shellharbour City Centre NSW 2529 Australia,-34.5648151,150.8369526,false,True,True,True
90,180_location.json,ChIJY-w9v58TE2sRB_CH57S7Z8s,Grill'd Shellharbour,2021a/211 Lake Entrance Rd Shellharbour City Centre NSW 2529 Australia,-34.564338,150.837255,False,True,True,True
90,180_location.json,ChIJIcIgkYUTE2sRqQtc9sVc3To,Amigos Shellharbour,shop1/8 Memorial Dr Shellharbour City Centre NSW 2529 Australia,-34.563904199999996,150.83445179999998,True,True,True,True
90,180_location.json,ChIJQw7PCx0TE2sRRL0GbTayQc8,Hong Kong Chef Shellharbour,Shop 2020 Shellharbour Stockland Shellharbour City Centre NSW 2529 Australia,-34.5643938,150.8370966,false,True,True,True
90,180_location.json,ChIJMeGyFJ8TE2sRkw6qtLBUHfY,Zeus Street Greek Shellharbour,Shop 2019/211 Lake Entrance Rd Shellharbour City Centre NSW 2529 Australia,-34.5645133,150.8369821,False,True,True,True
90,180_location.json,ChIJtxGO6zkTE2sRMFXtd99Ey-A,Sushi Hub Shellharbour,Kiosk K204 Stockland Shellharbour 211 Lake Entrance Rd Shellharbour City Centre NSW 2529 Australia,-34.564775000000004,150.8378768,false,True,True,false
90,180_location.json,ChIJAzVE1qETE2sR1D2szjrhpzs,The Coffee Club Café - Shellharbour,Stocklands Shellharbour Lake Entrance Rd Shellharbour NSW 2529 Australia,-34.5643059,150.8375556,True,True,True,True
90,180_location.json,ChIJiXTCGp8TE2sRE7pbJEVjqLw,Oporto Food Court,Shop/1119 Lake Entrance Rd Shellharbour City Centre NSW 2529 Australia,-34.5646735,150.83997689999998,false,True,True,True
90,180_location.json,ChIJa4IU1gkTE2sRsgp4Chf76QY,KFC Shellharbour Food Court,2528 New Lake Entrance Road Stockland Shellharbour Shop 214 Food Court Ground Floor Shellharbour City Centre NSW 2529 Australia,-34.5648465,150.8402338,false,True,True,True
97,187_location.json,ChIJnR-n_hAXE2sRit4dacqQj6E,The German Club,636A Northcliffe Dr Kembla Grange NSW 2526 Australia,-34.471553799999995,150.8301086,false,false,false,false
98,188_location.json,ChIJn9vu2goRE2sRMObx_HUAZg4,Kanahooka Takeaway,2/58-60 Lakeside Dr Kanahooka NSW 2530 Australia,-34.500299999999996,150.816719,True,True,True,false
98,188_location.json,ChIJdT004n8RE2sRwmoJX1zi0Ck,The Licorice Shop,Shop 1/58 Lakeside Dr Kanahooka NSW 2530 Australia,-34.5002879,150.81673849999999,false,false,false,false
107,196_location.json,ChIJOYtZq68RE2sRFnpR0jRWhRA,Dandaloo Hotel Motel,336 Kanahooka Rd Dapto NSW 2530 Australia,-34.4857284,150.8074072,false,True,True,True
107,196_location.json,ChIJ7fIUI3MRE2sRHgQb-Am1cA0,Passionate Palate,1 Stanthorpe Dr Kanahooka NSW 2530 Australia,-34.4917559,150.81942809999998,True,True,True,True
107,196_location.json,ChIJ9Z5iPQARE2sRnxmD2zP_VsA,Krema & Co Cafe,41-49 Brownsville Ave Brownsville NSW 2530 Australia,-34.485419199999995,150.8066283,True,True,True,True
107,196_location.json,ChIJM4dqVq4RE2sRpyZ1iWiMHWM,Ho's Chinese Asian Restaurant,41-47 Brownsville Ave Brownsville NSW 2530 Australia,-34.4854863,150.80662289999998,false,True,True,True
107,196_location.json,ChIJwVx85K4RE2sROlmLxDNlZuU,Dandaloo Village Takeaway,41 Brownsville Ave Brownsville NSW 2530 Australia,-34.485391,150.806626,True,True,True,false
